Titulo,Autores,Resumen,Fecha,Etiquetas,URL
"""Solo hubo un disparo"": Los detalles del operativo de Carabineros en San Bernardo donde murió un delincuente",T13,"""Carabineros hace uno de un disparo y se está indagando el motivo, la causa, que la otra persona tenga también un impacto balístico"", señalaron desde Carabineros.",28 de Marzo de 2024 - 13:47 hrs.,"['Operativo de Carabineros', 'san bernardo', 'carabineros', 'región metropolitana']",https://www.t13.cl/noticia/nacional/solo-hubo-disparo-detalles-del-operativo-carabineros-san-bernardo-donde-murio-d-28-3-2024
Superintendencia de Educación ingresa denuncia de oficio tras video de bullying a niño con movilidad reducida,T13,A través de redes sociales se viralizó el registro de bullying de un menor a su compañero que se encontraba en el suelo en Isla de Maipo.,27 de Marzo de 2024 - 23:38 hrs.,"['isla de maipo', 'bullying', 'región metropolitana']",https://www.t13.cl/noticia/nacional/superintendencia-educacion-ingresa-denuncia-oficio-tras-video-bullying-nino-movilidad-redu
"Tras anuncio de Lo Valledor, La Vega también buscará exigir carnet chileno para poder ingresar",T13,La exigencia de la cédula de identidad chilena se realizará de manera progresiva en La Vega.,27 de Marzo de 2024 - 21:49 hrs.,"['la vega', 'región metropolitana', 'cédula de identidad']",https://www.t13.cl/noticia/nacional/la-vega-se-sumara-lo-valledor-buscan-exigir-carnet-chileno-para-poder-ingresar-27-3-2024
Al menos dos viviendas afectadas tras incendio en Cerro Navia,T13,"Según información preliminar, en las viviendas afectadas se subarrendaban piezas y aún no hay claridad de la cantidad de las personas damnificadas.",27 de Marzo de 2024 - 07:09 hrs.,"['incendio en cerro navia', 'cerro navia', 'bomberos', 'región metropolitana']",https://www.t13.cl/noticia/nacional/al-menos-dos-viviendas-afectadas-tras-incendio-cerro-navia-27-3-2024
Vuelven buses de dos pisos a Santiago: Conoce cuáles serán su recorrido,T13,"Los buses eléctricos, destinados al transporte público de Santiago, son eléctricos y cuentan con una capacidad para 100 personas.",26 de Marzo de 2024 - 23:11 hrs.,"['Buses de dos pisos', 'buses', 'región metropolitana', 'santiago']",https://www.t13.cl/noticia/nacional/vuelven-buses-dos-pisos-santiago-conoce-cuales-seran-su-recorrido-26-3-2024
"Cortan, roban y cargan: Captan a sujetos robando bicicletas a plena luz del día en Buin",T13,"Un grupo de delincuentes, a vista y paciencia de todos, roban, cortan y cargan bicicletas en el frontis de la estación de trenes en Buin.",25 de Marzo de 2024 - 23:52 hrs.,"['buin', 'región metropolitana', 'robo', 'bicicletas']",https://www.t13.cl/noticia/nacional/cortan-roban-cargan-captan-sujetos-robando-bicicletas-plena-luz-del-dia-buin-25-3-2024
OS9 detuvo a hombre que amenazó a Carabineros por redes sociales,Aton,"El hombre de 20 años se grabó al interior de un auto, junto a otras personas, amenazando a carabineros mientras mostraba armas.",21 de Marzo de 2024 - 07:27 hrs.,"['amenazas a carabineros', 'carabineros', 'conchalí', 'región metropolitana']",https://www.t13.cl/noticia/nacional/os9-detuvo-hombre-amenazo-carabineros-por-redes-sociales-21-3-2024
Cómo participar en el proyecto para medir la calidad del aire en la Región Metropolitana,T13,"La iniciativa de la Universidad de Chile ""busca crear un puente entre la sociedad y la ciencia, invitando a todos a contribuir en la búsqueda de soluciones para un futuro más sostenible"".",20 de Marzo de 2024 - 16:47 hrs.,"['región metropolitana', 'calidad del aire', 'universidad de chile', 'aire', 'contaminación']",https://www.t13.cl/noticia/nacional/como-participar-proyecto-para-medir-calidad-del-aire-region-metropolitana-20-3-2024
"Así funcionaba la ""Casona del tráfico"" en Estación Central allanada por las policías",T13,"En el sector también se encontró un centro de eventos que funcionaba de manera clandestina, desde donde las policías sacaron comida y refrigeradores, entre otros elementos.",20 de Marzo de 2024 - 10:04 hrs.,"['Casona del tráfico', 'estación central', 'región metropolitana', 'Pequeña Caracas']",https://www.t13.cl/noticia/nacional/asi-funcionaba-casona-del-trafico-estacion-central-allanada-por-las-policias-20-3-2024
Sistema frontal en 5 regiones: ¿Habrá lluvia en la Región Metropolitana este miércoles?,T13,La zona sur del país será la más afectada por un sistema frontal que vendrá con mucha lluvia.  El fenómeno empezó la noche del martes.,20 de Marzo de 2024 - 09:16 hrs.,"['lluvia', 'región metropolitana', 'precipitaciones']",https://www.t13.cl/noticia/nacional/habra-lluvia-region-metropolitana-este-miercoles-20-3-2024
Sistema frontal dejaría lluvias en 5 regiones (incluyendo la Metropolitana): ¿Cuántos milímetros caerán?,T13,El fenómeno comenzaría a registrarse desde la noche del martes. Revisa las regiones afectadas y los milímetros de lluvia que caerían.,19 de Marzo de 2024 - 20:51 hrs.,"['lluvia', 'Lluvia En Santiago', 'sistema frontal', 'zona central', 'región metropolitana', 'meteochile', 'meteorología']",https://www.t13.cl/noticia/nacional/sistema-frontal-dejaria-lluvias-5-regiones-incluyendo-metropolitana-cuantos-mil-19-3-2024
Estrenan servicio de buses 100% eléctrico a Los Andes: Pasajes cuestan $999,Javier Thomson,Desde este lunes 18 de marzo hasta el domingo 24 del mismo mes se podrá acceder a tarifas que parten en los $999 pesos.,18 de Marzo de 2024 - 14:30 hrs.,"['buses eléctricos', 'los andes', 'región metropolitana', 'buses']",https://www.t13.cl/noticia/nacional/te-puede-servir/estrenan-servicio-buses-100-electrico-andes-pasajes-cuestan-999-18-3-2024
